no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
47,w-VeQ5cAAAAJ,Tobias Gruber,https://scholar.google.com/citations?hl=en&user=w-VeQ5cAAAAJ,Liebherr-Digital Development Center GmbH,Verified email at liebherr.com,"c(""Data Science"", ""Machine Learning"", ""Computer Vision"", ""Autonomous Driving"")",2017,16,1548,10,11,92.47,Top 8%,99.64,Top 0.4%,98.81,Top 1%
48,BzprN1gAAAAJ,FM Javed Mehedi Shamrat,https://scholar.google.com/citations?hl=en&user=BzprN1gAAAAJ,"Master of Computer Science, University of Malaya, Kuala Lumpur, Malaysia",Verified email at siswa.um.edu.my,"c(""Data Science"", ""Machine Learning"", ""Artificial Intelligence"", ""Bioinformatics"", ""Image Processing"")",2018,64,1547,22,33,99.65,Top 0.3%,99.63,Top 0.4%,99.9,Top 0.1%
49,XMXGZ-EAAAAJ,Dr. Mudasir Ahmad Ganaie,https://scholar.google.com/citations?hl=en&user=XMXGZ-EAAAAJ,"University of Michigan, Ann Arbor, USA",Verified email at umich.edu,"c(""Deep learning"", ""Machine Learning"", ""Support Vector Machines"", ""Data Science"", ""Neuroimaging"")",2019,44,1542,18,27,99.22,Top 0.8%,99.63,Top 0.4%,99.77,Top 0.2%
50,DE7fyk4AAAAJ,Marc Hon,https://scholar.google.com/citations?hl=en&user=DE7fyk4AAAAJ,"NASA Hubble Fellow, University of Hawaii",Verified email at hawaii.edu,"c(""variable stars"", ""stellar astrophysics"", ""Galactic archeology"", ""asteroseismology"", ""data science"")",2017,69,1535,22,27,99.77,Top 0.2%,99.62,Top 0.4%,99.9,Top 0.1%
51,eMCHVxcAAAAJ,Isaac Kofi Nti (PhD),https://scholar.google.com/citations?hl=en&user=eMCHVxcAAAAJ,"Department of Computer Science and Informatics, University of Energy and Natural …",Verified email at uenr.edu.gh,"c(""Machine Learning"", ""AI-powered Cybersecurity"", ""Data Science"", ""FinTech"", ""Prompt Engineering"")",2017,67,1530,16,23,99.73,Top 0.3%,99.61,Top 0.4%,99.69,Top 0.3%
52,IIBRLPoAAAAJ,Subhiksha Nandakumar,https://scholar.google.com/citations?hl=en&user=IIBRLPoAAAAJ,"Senior Computational Biologist, Memorial Sloan Kettering Cancer Center",Verified email at mskcc.org,"c(""Cancer genomics"", ""Bioinformatics"", ""Computational Oncology"", ""Translational Research"", ""Data Science"")",2017,68,1491,14,16,99.74,Top 0.3%,99.6,Top 0.4%,99.57,Top 0.4%
53,xgGXYLMAAAAJ,Bree Norlander,https://scholar.google.com/citations?hl=en&user=xgGXYLMAAAAJ,University of British Columbia,Verified email at ubc.ca,"c(""Data Science"", ""Open Access"", ""Data Curation"", ""Data Management"")",2017,36,1454,6,4,98.74,Top 1%,99.59,Top 0.4%,94.89,Top 5%
54,6YnPGqAAAAAJ,Xin Fang,https://scholar.google.com/citations?hl=en&user=6YnPGqAAAAAJ,Bristol-Myers Squibb,Verified email at bms.com,"c(""bioinformatics"", ""computational biology"", ""machine learning"", ""drug discovery"", ""data science"")",2017,21,1450,12,15,95.52,Top 4%,99.59,Top 0.4%,99.3,Top 0.7%
55,I8q5NwUAAAAJ,Fabio Giampaolo,https://scholar.google.com/citations?hl=en&user=I8q5NwUAAAAJ,"Ph.D. Student, University of Naples Federico II",Verified email at unina.it,"c(""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Deep Learning"")",2019,55,1433,13,17,99.52,Top 0.5%,99.58,Top 0.4%,99.45,Top 0.5%
56,wd3fpewAAAAJ,Timothy Bergquist,https://scholar.google.com/citations?hl=en&user=wd3fpewAAAAJ,"Data Scientist, Mt Sinai Institute for Genomic Health",Verified email at mssm.edu,"c(""biomedical informatics"", ""learning healthcare system"", ""data science"")",2017,40,1428,12,15,98.97,Top 1%,99.57,Top 0.4%,99.3,Top 0.7%
